ID,item_cnt_month
0,0.47900805
1,0.8673312
2,0.6967514
3,0.4735341
4,3.8056855
5,0.5423457
6,1.0524962
7,0.4452737
8,0.58300275
9,0.51471066
10,1.4094231
11,0.5201846
12,0.31919074
13,0.45422196
14,0.8895818
15,2.100069
16,0.3152671
17,0.4452737
18,0.97580755
19,0.51471066
20,0.51821434
21,0.32985598
22,0.5880495
23,0.5368718
24,1.2388296
25,0.96257925
26,0.37350482
27,0.45422196
28,0.8589084
29,2.6222754
30,0.5201846
31,0.71848613
32,0.5201846
33,0.69723785
34,0.41220593
35,0.4107393
36,0.41220593
37,0.65568626
38,0.3335544
39,0.32638165
40,0.6470863
41,0.6841488
42,2.013761
43,1.6760684
44,0.6110354
45,0.9767412
46,0.47553372
47,0.47553372
48,0.47553372
49,0.73670053
50,0.6595474
51,0.4700598
52,0.70393217
53,0.47553372
54,2.9619403
55,1.5628583
56,0.69759303
57,1.1902701
58,2.6104753
59,1.5628583
60,2.9739232
61,0.5368718
62,0.4735341
63,0.58257556
64,3.8056855
65,0.8673312
66,0.66828895
67,0.32838935
68,0.58196366
69,0.47900805
70,0.8673312
71,1.7319878
72,0.5162147
73,0.7017383
74,3.8056855
75,3.8056855
76,0.51274043
77,3.8056855
78,0.47900805
79,0.64316225
80,0.7265229
81,1.4095155
82,0.6626734
83,0.44874802
84,0.6267641
85,0.8207444
86,0.5423457
87,0.3152671
88,1.7385428
89,1.087213
90,0.7279968
91,0.42502275
92,1.2105551
93,0.4735341
94,0.5201846
95,0.47925293
96,0.31542408
97,0.6145097
98,0.52168864
99,1.0844381
100,0.73020077
101,1.3002297
102,0.4735341
103,0.60054284
104,0.4735341
105,0.54594076
106,0.54594076
107,0.8589084
108,0.3152671
109,0.8673312
110,0.51471066
111,0.57420117
112,0.37350482
113,0.96257925
114,0.47900805
115,0.4735341
116,0.54594076
117,0.4452737
118,4.4517145
119,0.4452737
120,0.4452737
121,0.4452737
122,0.51274043
123,0.51274043
124,0.58000255
125,0.9422581
126,0.54594076
127,0.3152671
128,0.35891593
129,0.31955296
130,0.51821434
131,0.3119498
132,0.5880495
133,2.7533815
134,0.4452737
135,1.0141053
136,0.5201846
137,0.5201846
138,0.86463016
139,3.8056855
140,0.4452737
141,0.51274043
142,0.3152671
143,0.45074764
144,0.9767412
145,0.9767412
146,0.9767412
