ID,item_cnt_month
0,0.7427756
1,0.7859942
2,1.0490472
3,0.54148436
4,6.061735
5,0.6426123
6,1.2831714
7,0.23986244
8,1.2966065
9,0.71078867
10,2.570094
11,0.7217256
12,0.1599426
13,0.51802087
14,6.9904137
15,8.331638
16,0.19489196
17,0.18056312
18,7.1443677
19,0.64906055
20,0.500203
21,0.35037154
22,1.1999153
23,0.71077555
24,1.5674444
25,0.7337432
26,0.7139043
27,0.7891518
28,1.0048921
29,9.075891
30,0.7098958
31,1.1440239
32,0.7592509
33,6.3334236
34,0.5666808
35,0.5508686
36,0.60020214
37,0.73205304
38,0.3609683
39,0.27029505
40,0.7164632
41,1.0155668
42,2.80991
43,9.313831
44,0.7355798
45,0.85512507
46,1.0133722
47,0.43108746
48,0.44944584
49,1.2025576
50,1.2450454
51,0.39227307
52,0.55061495
53,0.47987285
54,9.753097
55,8.1962595
56,8.020992
57,7.7699757
58,9.520879
59,7.986698
60,9.996362
61,0.618835
62,0.7357167
63,0.95355135
64,12.1997
65,4.5848827
66,0.9790749
67,0.40900826
68,0.80703926
69,0.57203
70,4.5848827
71,1.844493
72,0.4418123
73,6.6518283
74,11.182603
75,10.337981
76,0.29572618
77,12.116375
78,0.7013947
79,0.99262094
80,1.2757303
81,2.404675
82,1.3329124
83,0.66146964
84,1.3723974
85,1.2639709
86,0.6751622
87,0.1526927
88,2.8028603
89,1.414046
90,0.86412555
91,0.80750656
92,1.9917806
93,0.5050935
94,0.8770069
95,0.15556014
96,0.29361904
97,0.7559477
98,0.620754
99,7.217053
100,8.121586
101,3.5751824
102,0.70330703
103,1.2260311
104,0.494221
105,0.30701655
106,0.29632935
107,7.103089
108,0.21950316
109,0.85280466
110,1.2340088
111,1.0136747
112,0.58516353
113,3.1404011
114,0.6137811
115,0.5505629
116,0.54787487
117,0.18056312
118,14.478415
119,0.31347677
120,0.31347677
121,0.31910354
122,0.47218588
123,0.65508014
124,0.82156646
125,1.2297163
126,0.5847224
127,0.14840025
128,0.32665652
129,0.19352734
130,0.46834219
131,0.11111978
132,0.93245053
133,6.043134
134,0.31347677
135,2.14029
136,0.6972265
137,0.6834537
138,0.9189744
139,6.0347986
140,0.28092903
141,0.46729362
142,0.17548463
143,0.34615326
144,1.1158202
145,1.1158202
146,1.1158202
147,0.17548463
148,0.96642923
149,0.3523568
150,0.1733672
151,0.55856204
152,7.876131
153,0.23664916
154,0.10911122
155,0.32844117
156,0.23254412
157,0.5267364
158,0.17562395
159,0.3543522
160,0.66383505
161,0.17154941
162,0.5631343
163,0.5342723
164,0.38009778
165,0.08522761
166,0.43102574
167,0.063827544
168,0.9498588
169,0.08522761
170,0.17154941
171,0.51782966
172,0.2994886
173,1.4958637
174,1.6567622
175,2.4293122
176,1.4498246
177,1.1914978
178,0.32654405
179,0.09554979
180,1.8607402
181,0.33231747
182,0.17441842
183,0.16988823
184,0.13781852
185,0.32067433
186,0.14029741
187,0.18266797
188,0.97119766
189,0.97119766
190,0.595094
191,0.89099014
192,0.48178947
193,0.22533303
194,0.5104576
195,0.57848513
196,0.799206
197,3.7379484
198,1.4859552
199,5.462743
200,1.0639583
201,5.462743
202,0.30648398
203,1.2316592
204,0.21320993
205,1.9945349
206,1.9361447
207,0.42541865
208,1.6801587
209,0.60112906
210,0.51276577
211,0.09168258
212,0.06662297
213,0.18257374
214,0.14510897
215,0.5759306
216,0.6720747
217,1.3176391
218,1.5923245
219,1.0295238
220,0.55762684
221,5.3764467
222,5.4711814
223,0.7781383
224,2.2289832
225,0.6776274
226,0.47433782
227,0.29213363
228,0.52469426
229,0.15882051
230,5.8584185
231,0.5496611
232,0.1341643
233,0.7406422
234,0.1525529
235,0.13163602
236,0.33596635
237,0.5943167
238,0.49831012
239,0.75534797
240,0.51446503
241,0.119553
242,0.44115782
243,3.9130177
244,0.96275926
245,0.19599926
246,1.6403944
247,0.546031
248,0.70352495
249,0.28369522
250,0.6688368
251,0.5340937
252,0.5534567
253,1.2586317
254,0.49984986
255,5.4932027
256,0.5080645
257,0.13600653
258,0.39754128
259,0.18316093
260,0.45785224
261,0.08522761
262,0.18096903
263,0.063827544
264,0.113098025
265,0.43477735
266,0.07431981
267,0.20395201
268,0.46853948
269,0.1109806
270,1.0559819
271,0.11298913
272,0.17234954
273,1.1884162
274,12.253769
275,0.058906794
276,0.24135947
277,1.4858935
278,0.35111523
279,0.27712855
280,0.22442377
281,0.17275509
282,0.23937476
283,0.50352085
284,0.2407377
285,0.242818
286,0.17838883
287,0.8245696
288,0.25838852
289,0.3838648
290,0.11867276
291,0.20748019
292,0.37214077
293,0.18832561
294,0.7078291
295,0.79949164
296,0.19566363
297,0.33690667
298,0.29933545
299,0.2916004
300,0.13589767
301,0.67270905
302,0.896703
303,0.6358356
304,0.5188636
305,0.04278457
306,0.19067198
307,0.10024434
308,0.20291582
309,0.60876524
310,0.5866324
311,0.41619796
312,0.60478526
313,0.19067198
314,0.1109806
315,0.7071212
316,0.2098682
317,2.8491812
318,0.07692534
319,0.18979517
320,0.47043642
321,0.06792197
322,0.5655197
323,0.13812652
324,0.44741476
325,0.36539263
326,0.17788404
327,0.2579053
328,0.2643413
329,0.31101686
330,0.14698765
331,0.6053724
332,0.11768997
333,0.21067867
334,0.74926645
335,0.24335137
336,0.22308916
337,0.79169345
338,0.29000136
339,0.5085838
340,0.09934831
341,0.54665846
342,0.8938254
343,0.7541783
344,0.16103503
345,0.16103503
346,3.9947617
347,3.3461812
348,0.14398113
349,0.28265378
350,0.21341017
351,0.48262167
352,0.14163584
353,0.2521556
354,0.2821545
355,1.5559603
356,0.38326988
357,0.76083314
358,0.36981064
359,0.38326988
360,0.36607784
361,3.1316679
362,0.5849261
363,0.8294515
364,0.739245
365,0.35693777
366,0.8938254
367,0.0659374
368,0.10626301
369,0.52561533
370,0.74768555
371,0.57975364
372,0.7737472
373,0.5178552
374,1.4047948
375,1.7659831
376,0.4904541
377,0.21668878
378,0.3922204
379,0.13607988
380,3.084921
381,0.30326515
382,0.29070097
383,0.1590505
384,1.5622919
385,0.2753784
386,0.37360662
387,0.6343666
388,0.1552122
389,0.08404416
390,0.10813868
391,0.16103503
392,0.6961282
